Station Number,Standard Route Identifier,Mile Marker,Latitude,Longitude,County Code,Municipal Code,County,Municipality,Annual Average Daily Traffic,Annual Average Daily Traffic North/East (See Direction Field),Annual Average Daily Traffic South/West (See Direction Field),Year,Station Type,Direction
1-4-305,00000031__,42.35,40.75242965,-74.97602302,21,2122,Warren,Washington Twp,"16,874","8,093","8,781",01/01/2012,Volume 48hrs,North/South
2-4-207,00000046__,56.7,40.89453124,-74.24133324,16,1614,Passaic,Wayne Twp,"124,162","64,602","59,560",01/01/2012,Volume 48hrs,East/West
121373,13000052__,1.25,40.3570167,-74.1475083,13,1331,Monmouth,Middletown Twp,"9,602","4,607","4,995",01/01/2012,Volume 48hrs,North/South
2-4-606,02401043__,1.11,40.99699235,-73.95118577,2,241,Bergen,Norwood Boro,"3,356","1,750","1,606",01/01/2012,Classification 48hrs,North/South
1-4-312,00000284__,6.66,41.28957713,-74.55298415,19,1924,Sussex,Wantage Twp,"1,561",791,770,01/01/2012,Classification 48hrs,North/South
2-4-502,09000653__,1.52,40.76898992,-74.06738921,9,909,Hudson,Secaucus Town,"17,203","9,412","7,791",01/01/2012,Volume 48hrs,North/South
1-4-323,00000094__,34.93,41.15178967,-74.58891863,19,1911,Sussex,Hardyston Twp,"10,143","4,944","5,199",01/01/2012,Classification 48hrs,North/South
7-9-392,04000636__,1.55,39.91483905,-75.05627514,4,416,Camden,Haddon Twp,"22,682","8,562","14,120",01/01/2012,Volume 48hrs,North/South
121377,13000054__,3.2,40.3224917,-74.1264222,13,1331,Monmouth,Middletown Twp,"13,296","7,179","6,117",01/01/2012,Volume 48hrs,East/West
7-8-182,17000602__,2.17,39.67897695,-75.33313783,17,1710,Salem,Pittsgrove Twp,"2,427","1,214","1,213",01/01/2012,Classification 48hrs,North/South
110623,06000650__,2,39.40968683,-75.31160665,6,607,Cumberland,Hopewell Twp,320,159,161,01/01/2012,Volume 48hrs,North/South
7-0-428,08000620__,1.35,39.71789823,-75.32574152,8,824,Gloucester,Woolwich Twp,"2,275","1,143","1,132",01/01/2012,Volume 48hrs,North/South
110627,06000659__,1.05,39.4482402,-75.20875614,6,613,Cumberland,Upper Deerfield Twp,"6,042","3,098","2,944",01/01/2012,Volume 48hrs,East/West
12mc4c,00000516__,13.38,40.41905,-74.14297,13,1318,Monmouth,Holmdel Twp,"9,077","4,036","5,041",01/01/2012,major,East/West
110628,06000659__,4.98,39.469566,-75.143275,6,603,Cumberland,Deerfield Twp,"1,200",657,543,01/01/2012,Volume 48hrs,East/West
7-0-298,04000712__,1.89,39.76643104,-74.88793102,4,435,Camden,Waterford Twp,"3,649","1,879","1,770",01/01/2012,Volume 48hrs,North/South
061201,00000035__,56.16,40.568074,-74.289282,12,1225,Middlesex,Woodbridge Twp,"29,638","14,083","15,555",01/01/2012,Volume 48hrs,North/South
1116105,160006943_,0.25,41.01208,-74.36842,16,1615,Passaic,West Milford Twp,"3,137","1,549","1,588",01/01/2012,Volume 48hrs,North/South
121378,13000055__,2.16,40.2631139,-74.2468722,13,1316,Monmouth,Freehold Twp,"24,758","12,354","12,404",01/01/2012,Volume 48hrs,North/South
5-4-446,00000543__,8.41,40.02198003,-74.99108602,3,308,Burlington,Cinnaminson Twp,"9,300","4,719","4,581",01/01/2012,Volume 48hrs,North/South
110630,06000687__,2.12,39.4989544,-75.18116783,6,613,Cumberland,Upper Deerfield Twp,"1,006",495,511,01/01/2012,Volume 48hrs,North/South
7-8-109,17000623__,0.94,39.4708202,-75.41510802,17,1705,Salem,Mannington Twp,929,467,462,01/01/2012,Classification 48hrs,North/South
110737,07000630__,0.31,40.72171,-74.29218,7,712,Essex,Millburn Twp,"20,299","10,631","9,668",01/01/2012,Volume 48hrs,East/West
7-0-487,04071005__,0.1,39.87912629,-75.12367677,4,407,Camden,Brooklawn Boro,"1,211",525,686,01/01/2012,Volume 48hrs,East/West
121392,13161329__,0.34,40.2386611,-74.2817778,13,1316,Monmouth,Freehold Twp,"62,922","5,525","57,397",01/01/2012,Volume 48hrs,East/West
110126,01000646__,2.06,39.43299,-74.58363,1,108,Atlantic,Egg Harbor Twp,"21,745","11,909","9,836",01/01/2012,Volume 48hrs,East/West
121393,13341417__,0.23,40.2113083,-74.0651639,13,1334,Monmouth,Neptune Twp,"2,992","1,553","1,439",01/01/2012,Volume 48hrs,North/South
6-9-471,00000033__,27,40.24359823,-74.28793849,13,1316,Monmouth,Freehold Twp,"29,246","15,233","14,013",01/01/2012,Classification 48hrs,East/West
121397,00000033__,25.66,40.2509028,-74.3109444,13,1316,Monmouth,Freehold Twp,"20,425","9,912","10,513",01/01/2012,Volume 48hrs,East/West
7-9-375,08000607__,9.35,39.8239344,-75.29424849,8,807,Gloucester,Greenwich Twp,"1,014",492,522,01/01/2012,Classification 48hrs,North/South
121596,00000539__,34.33,40.0735,-74.47159,15,1523,Ocean,Plumsted Twp,"10,980","5,712","5,268",01/01/2012,Volume 48hrs,North/South
110141,01000663__,1.05,39.414368,-74.5091,1,119,Atlantic,Pleasantville City,"2,736","1,309","1,427",01/01/2012,Volume 48hrs,East/West
121701,00000048__,1.87,39.7046504,-75.44249245,17,1702,Salem,Elmer Boro,"7,354","3,683","3,671",01/01/2012,Volume 48hrs,East/West
12n888r,00000046__B106420,,40.89329957,-74.12522201,2,211,Bergen,Elmwood Park Boro,0,"2,175",0,01/01/2012,ramp,East
090103,00000322__,46.2,39.47485,-74.708546,1,112,Atlantic,Hamilton Twp,"27,060","12,698","14,362",01/01/2012,Classification 48hrs,East/West
111914,19000619__,1.26,41.0595982,-74.84453318,19,1920,Sussex,Stillwater Twp,634,332,302,01/01/2012,Volume 48hrs,North/South
090111,00000030__,51.02,39.43347091,-74.51351726,1,101,Atlantic,Absecon City,"35,614","17,549","18,065",01/01/2012,Classification 48hrs,East/West
1-3-018,00000080__,10.8,40.92963617,-74.98147929,21,2111,Warren,Hope Twp,"50,785","25,967","24,818",01/01/2012,Volume 48hrs,East/West
120111,00000206__,1.32,39.66458726,-74.77744998,1,113,Atlantic,Hammonton Town,"9,715","4,879","4,836",01/01/2012,Volume 48hrs,North/South
7n5h706,00000561__,43.5,39.878526,-75.00716,4,409,Camden,Cherry Hill Twp,"41,379","20,265","21,114",01/01/2012,Volume 48hrs,North/South
120112,00000009__,40.33,39.3968096,-74.5273836,1,119,Atlantic,Pleasantville City,"16,669","8,409","8,260",01/01/2012,Volume 48hrs,North/South
7-9-406,04000670__,1.8,39.85849004,-75.00721303,4,434,Camden,Voorhees Twp,"14,538","7,172","7,366",01/01/2012,Volume 48hrs,North/South
121703,00000049__,2.73,39.64919557,-75.51952343,17,1709,Salem,Pilesgrove Twp,"16,440","8,013","8,427",01/01/2012,Volume 48hrs,East/West
12s131r,00000047__Y106930,69.44,39.79523879,-75.11538982,8,802,Gloucester,Deptford Twp,0,0,"5,567",01/01/2012,ramp,South
2-7-107,02000070__,1.36,40.93118121,-74.00829343,2,203,Bergen,Bergenfield Boro,"6,965","3,522","3,443",01/01/2012,Volume 48hrs,East/West
12s133r,00000047__X106940,69.51,39.79589215,-75.11612311,8,802,Gloucester,Deptford Twp,0,0,"2,134",01/01/2012,ramp,South
120218,020000411_,3.29,40.89597167,-74.02894233,2,260,Bergen,Teaneck Twp,"17,742","9,154","8,588",01/01/2012,Volume 48hrs,North/South
1-4-229,00000202__,59,40.92614537,-74.33237079,14,1421,Morris,Montville Twp,"12,442","6,246","6,196",01/01/2012,Volume 48hrs,North/South
121704,00000049__,3.81,39.63439071,-75.51372494,17,1709,Salem,Pilesgrove Twp,"10,907","5,477","5,430",01/01/2012,Volume 48hrs,East/West
12s132r,00000047__B106940,69.53,39.79626709,-75.11616255,8,802,Gloucester,Deptford Twp,0,0,"2,430",01/01/2012,ramp,South
2-5l095,00000003__,9.38,40.79226098,-74.05577212,9,909,Hudson,Secaucus Town,0,"17,436","15,958",01/01/2012,Volume 48hrs,East/West
1-4-523,19000616__,0.08,41.0529274,-74.74989157,19,1915,Sussex,Newton Town,"10,164","4,610","5,554",01/01/2012,Classification 48hrs,East/West
121705,00000049__,9.94,39.5626166,-75.45641032,17,1713,Salem,Carneys Point Twp,"8,465","4,012","4,453",01/01/2012,Volume 48hrs,East/West
7-0-241,00000532__,4.41,39.84543579,-74.72820417,3,335,Burlington,Tabernacle Twp,"4,002","1,958","2,044",01/01/2012,Classification 48hrs,East/West
120308,00000130__,35.92,39.98691003,-75.01164003,3,308,Burlington,Cinnaminson Twp,"59,340","29,042","30,298",01/01/2012,Volume 48hrs,North/South
12s174r,00000295__X101490,14.76,39.80590957,-75.30273749,8,809,Gloucester,Logan Twp,0,0,904,01/01/2012,ramp,South
120291,020001052_,0.27,40.90575,-74.10146,2,257,Bergen,Saddle Brook Twp,"12,954","4,765","8,189",01/01/2012,Volume 48hrs,East/West
12mc4a,00000516__,17.67,40.41437,-74.072913,13,1331,Monmouth,Middletown Twp,"9,328","4,461","4,867",01/01/2012,major,East/West
121803,18000632__,1.39,40.43711,-74.588455,18,1808,Somerset,Franklin Twp,"4,179","2,074","2,105",01/01/2012,Volume 48hrs,East/West
11ms8d,17000626__,4.95,39.532315,-75.402176,17,1711,Salem,Quinton Twp,"1,031",517,514,01/01/2012,major,North/South
121896,00000022__,32.93,40.58752408,-74.63844907,18,1806,Somerset,Bridgewater Twp,"43,207","22,946","20,261",01/01/2012,Volume 48hrs,East/West
1-4-211,00000046__,32.54,40.88733958,-74.66138017,14,1436,Morris,Roxbury Twp,"42,349","20,589","21,760",01/01/2012,Volume 48hrs,East/West
120314,00000038__,12.74,39.97250522,-74.85201413,3,316,Burlington,Hainesport Twp,"32,978","16,980","15,998",01/01/2012,Volume 48hrs,East/West
1-7-610,00000078__,22.2,40.646594,-74.807284,10,1006,Hunterdon,Clinton Twp,"109,710","51,922","57,788",01/01/2012,Volume 48hrs,East/West
120422,04000713__,2.58,39.76505401,-74.85782703,4,435,Camden,Waterford Twp,"2,580","1,266","1,314",01/01/2012,Volume 48hrs,North/South
12n887r,00000046__A106600,,40.88689873,-74.09233065,2,257,Bergen,Saddle Brook Twp,0,"3,843",0,01/01/2012,ramp,East
110738,07000630__,0.99,40.721035,-74.28001,7,711,Essex,Maplewood Twp,"6,950","3,553","3,397",01/01/2012,Volume 48hrs,East/West
12s178r,00000295__X101540,15.41,39.8078641,-75.29073145,8,807,Gloucester,Greenwich Twp,0,0,280,01/01/2012,ramp,South
2-7-739,02000039__,7.16,40.94277306,-73.99294201,2,210,Bergen,Dumont Boro,"10,128","5,076","5,052",01/01/2012,Volume 48hrs,North/South
090706,00000508__,1.34,40.77891357,-74.32832399,7,710,Essex,Livingston Twp,"15,741","7,633","8,108",01/01/2012,Volume 48hrs,East/West
120424,04000716__,3.91,39.74974505,-74.87157903,4,435,Camden,Waterford Twp,"2,855","1,387","1,468",01/01/2012,Volume 48hrs,North/South
7n5h703,04000678__,0.86,39.84949703,-75.00846101,4,434,Camden,Voorhees Twp,"15,690","7,303","8,387",01/01/2012,Volume 48hrs,East/West
110372,03000637__,0.52,40.01438612,-74.82847114,3,337,Burlington,Westampton Twp,"9,358","4,672","4,686",01/01/2012,Volume 48hrs,North/South
1103b8,03000686__,2.94,39.97288786,-74.88939521,3,324,Burlington,Mount Laurel Twp,"12,219","6,421","5,798",01/01/2012,Volume 48hrs,East/West
2-8-619,02191630__,0.13,40.85628798,-73.97518121,2,219,Bergen,Fort Lee Boro,0,"4,611",0,01/01/2012,Volume 48hrs,North
110302,03000603__,0.88,39.931201,-74.888576,3,324,Burlington,Mount Laurel Twp,"8,997","4,931","4,066",01/01/2012,Volume 48hrs,North/South
8-7-553,00000206__,1.13,39.66216171,-74.77917926,1,113,Atlantic,Hammonton Town,"9,675","4,711","4,964",01/01/2012,Volume 48hrs,North/South
12s162r,00000295__Y101040,0.15,39.76260317,-75.36043288,8,809,Gloucester,Logan Twp,0,0,"2,324",01/01/2012,ramp,South
110773,07000659__,1.01,40.78465,-74.2336,7,722,Essex,West Orange Twp,"14,016","7,108","6,908",01/01/2012,Volume 48hrs,North/South
110308,03000607__,0.31,39.889159,-74.922082,3,313,Burlington,Evesham Twp,"14,346","7,216","7,130",01/01/2012,Volume 48hrs,North/South
120431,04000729__,0.98,39.89696643,-75.07396007,4,426,Camden,Oaklyn Boro,"2,224","1,033","1,191",01/01/2012,Volume 48hrs,North/South
7n5h715,04121127__,0.51,39.91275516,-75.06216456,4,412,Camden,Collingswood Boro,"2,266","1,357",909,01/01/2012,Volume 48hrs,East/West
120432,04000732__,0.23,39.90982863,-75.07838106,4,412,Camden,Collingswood Boro,"1,410",763,647,01/01/2012,Volume 48hrs,East/West
12mc4a,00000516__,17.67,40.41437,-74.072913,13,1331,Monmouth,Middletown Twp,"8,505","4,042","4,463",01/01/2012,major,East/West
120433,04000733__,0.32,39.80690802,-74.97874102,4,411,Camden,Clementon Boro,"1,248",557,691,01/01/2012,Volume 48hrs,North/South
12s134r,00000049__A103770,0.04,39.39209751,-75.01126012,6,610,Cumberland,Millville City,0,0,714,01/01/2012,ramp,South
120455,04081604__,1.62,39.94140003,-75.12194207,4,408,Camden,Camden City,"2,512","1,249","1,263",01/01/2012,Volume 48hrs,North/South
090710,00000508__,8.57,40.75576422,-74.2162964,7,705,Essex,East Orange City,"15,835","7,377","8,458",01/01/2012,Volume 48hrs,East/West
120456,00000030__,26.95,39.67409113,-74.82692803,4,436,Camden,Winslow Twp,"13,062","6,493","6,569",01/01/2012,Volume 48hrs,East/West
12n951r,00000078__Y100400,3.94,40.67055,-75.1354,21,2107,Warren,Greenwich Twp,0,0,517,01/01/2012,ramp,West
120457,04091978__,0.21,39.94191623,-75.02158987,4,409,Camden,Cherry Hill Twp,"8,378","3,438","4,940",01/01/2012,Classification 48hrs,North/South
110306,03000605__,1.04,40.032237,-74.957376,3,330,Burlington,Riverside Twp,"7,064","3,470","3,594",01/01/2012,Volume 48hrs,North/South
120458,04371125__,0.28,39.91750705,-75.09613305,4,437,Camden,Woodlynne Boro,"4,200","1,904","2,296",01/01/2012,Classification 48hrs,East/West
7n5h716,00000561__,47.07,39.91330905,-75.05858501,4,412,Camden,Collingswood Boro,"12,771","6,368","6,403",01/01/2012,Volume 48hrs,North/South
110775,07000662__,0.3,40.881145,-74.279236,7,707,Essex,Fairfield Boro,"7,561","3,334","4,227",01/01/2012,Volume 48hrs,North/South
090715,00000509__,12.97,40.76336962,-74.20300793,7,705,Essex,East Orange City,"7,899","4,108","3,791",01/01/2012,Classification 48hrs,North/South
110776,07000665__,0.99,40.734077,-74.2474,7,711,Essex,Maplewood Twp,"10,488","6,014","4,474",01/01/2012,Volume 48hrs,North/South
7p6d902,00000322__,8.2,39.756136,-75.269399,8,824,Gloucester,Woolwich Twp,"17,762","8,988","8,774",01/01/2012,Volume 48hrs,East/West
120454,04081604__,0.29,39.92258963,-75.12134182,4,408,Camden,Camden City,972,585,387,01/01/2012,Volume 48hrs,North/South
8-4-209,00000009__,2.85,38.96730354,-74.91815863,5,505,Cape May,Lower Twp,"14,561","7,753","6,808",01/01/2012,Classification 48hrs,North/South
120501,00000047__,16.28,39.16426,-74.82826,5,504,Cape May,Dennis Twp,"7,680","3,694","3,986",01/01/2012,Volume 48hrs,North/South
110310,03000607__,3.94,39.939855,-74.937845,3,324,Burlington,Mount Laurel Twp,"19,819","8,652","11,167",01/01/2012,Volume 48hrs,North/South
120502,00000047__,1.1,38.99225836,-74.83622761,5,505,Cape May,Lower Twp,"25,651","12,228","13,423",01/01/2012,Volume 48hrs,North/South
110309,03000607__,1.48,39.90614324,-74.92235385,3,313,Burlington,Evesham Twp,"17,011","8,670","8,341",01/01/2012,Volume 48hrs,North/South
120503,00000009__,8.7,39.03389041,-74.85978016,5,506,Cape May,Middle Twp,"14,543","7,093","7,450",01/01/2012,Volume 48hrs,North/South
7t6e901,00000042__,6.28,39.76700203,-75.04810651,8,818,Gloucester,Washington Twp,0,"24,234",0,01/01/2012,Volume 48hrs,North
120453,04000700__,1.32,39.83109661,-74.97966423,4,413,Camden,Gibbsboro Boro,545,225,320,01/01/2012,Volume 48hrs,North/South
12n970r,00000046__B105760,,40.89272323,-74.22484914,16,1612,Passaic,Totowa Boro,0,"1,310",0,01/01/2012,ramp,East
120608,00000049__,20.73,39.46872,-75.30046,6,612,Cumberland,Stow Creek Twp,"7,122","3,659","3,463",01/01/2012,Volume 48hrs,East/West
110746,07000636__,3.06,40.808407,-74.261185,7,722,Essex,West Orange Twp,"21,259","10,434","10,825",01/01/2012,Volume 48hrs,North/South
120610,00000047__,44.06,39.45111738,-75.04252699,6,614,Cumberland,Vineland City,"21,939","11,513","10,426",01/01/2012,Volume 48hrs,North/South
7-0-305,00000557__,31.71,39.55418702,-74.96974203,8,805,Gloucester,Franklin Twp,"2,016","1,024",992,01/01/2012,Classification 48hrs,North/South
091316,00000520__,18.48,40.343103,-74.039069,13,1323,Monmouth,Little Silver Boro,"17,544","9,439","8,105",01/01/2012,Volume 48hrs,East/West
110316,03000612__,4.01,39.931699,-74.868586,3,324,Burlington,Mount Laurel Twp,"3,377","1,735","1,642",01/01/2012,Volume 48hrs,North/South
121993,00000023__,33.96,41.13292,-74.5748,19,1906,Sussex,Franklin Boro,"22,427","11,049","11,378",01/01/2012,Volume 48hrs,North/South
092103,21191200__,0.6,40.69752255,-75.18678961,21,2119,Warren,Phillipsburg Town,"1,394","1,004",390,01/01/2012,Classification 48hrs,East/West
2p6d903,02491107__,0.13,40.841805,-73.999303,2,245,Bergen,Palisades Park Boro,"7,893","2,143","5,750",01/01/2012,Volume 48hrs,North/South
8-4-506,01000624__,1.7,39.57375146,-74.56301897,1,107,Atlantic,Egg Harbor City,348,181,167,01/01/2012,Volume 48hrs,East/West
2p6d904,02000100__,0.59,41.093973,-74.155052,2,233,Bergen,Mahwah Twp,"11,340","5,586","5,754",01/01/2012,Volume 48hrs,East/West
8-4-201,00000030__,30.62,39.63791597,-74.77706753,1,113,Atlantic,Hammonton Town,"15,552","7,903","7,649",01/01/2012,Volume 48hrs,East/West
120621,00000552__,6.59,39.43714903,-75.11064358,6,603,Cumberland,Deerfield Twp,"13,447","6,980","6,467",01/01/2012,Volume 48hrs,East/West
110313,03000609__,0.51,39.96303,-74.997258,3,319,Burlington,Maple Shade Twp,"2,319","1,276","1,043",01/01/2012,Volume 48hrs,North/South
120620,00000540__,33.26,39.49258476,-75.0435486,6,614,Cumberland,Vineland City,"1,554",877,677,01/01/2012,Volume 48hrs,East/West
5-5-312,00000029__,32.56,40.4954333,-75.0613,10,1016,Hunterdon,Kingwood Twp,"2,016","1,017",999,01/01/2012,Classification 48hrs,North/South
120805,00000055__,56.9,39.80031108,-75.10838161,8,802,Gloucester,Deptford Twp,"72,178","36,240","35,938",01/01/2012,Volume 48hrs,North/South
110320,03000613__,2.49,40.01036588,-74.93613163,3,310,Burlington,Delran Twp,"7,296","3,517","3,779",01/01/2012,Volume 48hrs,North/South
120808,00000045__,15.79,39.71613309,-75.24678004,8,816,Gloucester,South Harrison Twp,"5,880","2,733","3,147",01/01/2012,Volume 48hrs,North/South
091918,00000519__,87.09,41.31333979,-74.65026026,19,1924,Sussex,Wantage Twp,992,513,479,01/01/2012,Volume 48hrs,North/South
121006,00000031__,15.8,40.4176694,-74.8616528,10,1008,Hunterdon,East Amwell Twp,"23,239","12,106","11,133",01/01/2012,Volume 48hrs,North/South
092106,00000094__,6.67,40.98126482,-75.00176394,21,2104,Warren,Blairstown Twp,"7,485","3,708","3,777",01/01/2012,Volume 48hrs,North/South
121002,10000621__,0.06,40.634182,-74.85,10,1006,Hunterdon,Clinton Twp,"2,171",731,"1,440",01/01/2012,Volume 48hrs,North/South
7-0-365,03000612__,8.09,39.94685102,-74.79844404,3,317,Burlington,Lumberton Twp,"1,148",582,566,01/01/2012,Classification 48hrs,North/South
121005,00000022__,27.62,40.6138528,-74.7324194,10,1022,Hunterdon,Readington Twp,"27,159","13,065","14,094",01/01/2012,Volume 48hrs,East/West
8-4-326,00000109__,1.62,38.95148091,-74.90796757,5,505,Cape May,Lower Twp,"19,999","9,804","10,195",01/01/2012,Volume 48hrs,North/South
121108,00000031__,8.5,40.338818,-74.79649,11,1106,Mercer,Hopewell Twp,"25,254","12,408","12,846",01/01/2012,Volume 48hrs,North/South
12msab,00000563__,39.47,39.80996,-74.53338,3,339,Burlington,Woodland Twp,"1,816",916,900,01/01/2012,major,North/South
121132,11141245__,1,40.3455194,-74.6412944,11,1110,Mercer,Princeton Twp,"4,761","2,740","2,021",01/01/2012,Volume 48hrs,East/West
8-5-010,00000009__,32.91,39.31360995,-74.60839948,1,121,Atlantic,Somers Point City,"11,154","5,730","5,424",01/01/2012,Classification 48hrs,North/South
110837,08000640__,0.9,39.84316704,-75.17449702,8,820,Gloucester,West Deptford Twp,"12,306","6,346","5,960",01/01/2012,Volume 48hrs,East/West
7-0-378,08141004__,0.43,39.83685512,-75.23992181,8,814,Gloucester,Paulsboro Boro,"2,535","1,251","1,284",01/01/2012,Volume 48hrs,North/South
121123,11021388__,1.08,40.2837917,-74.8361333,11,1102,Mercer,Ewing Twp,498,235,263,01/01/2012,Volume 48hrs,East/West
8-4-628,05071001__,1.27,39.00435285,-74.79230778,5,507,Cape May,North Wildwood City,644,444,200,01/01/2012,Volume 48hrs,North/South
121125,11031987__,0.42,40.1936222,-74.6927861,11,1103,Mercer,Hamilton Twp,"2,808","1,301","1,507",01/01/2012,Volume 48hrs,North/South
8-4-338,00000187__,0.25,39.37557641,-74.43121621,1,102,Atlantic,Atlantic City,"4,319","1,669","2,650",01/01/2012,Volume 48hrs,North/South
121126,11031991__,0.82,40.1877861,-74.6698056,11,1103,Mercer,Hamilton Twp,"1,299",710,589,01/01/2012,Volume 48hrs,North/South
8-4-335,00000152__,2.93,39.31509308,-74.53565223,1,108,Atlantic,Egg Harbor Twp,"10,538","5,096","5,442",01/01/2012,Volume 48hrs,East/West
121299,12141066__,0.3,40.49487701,-74.44565501,12,1214,Middlesex,New Brunswick City,0,"4,356",0,01/01/2012,Volume 48hrs,East
8-4-651,06141025__,0.94,39.47375331,-75.01753096,6,614,Cumberland,Vineland City,"6,645","3,254","3,391",01/01/2012,Volume 48hrs,North/South
12mc4b,00000516__,15.46,40.413578,-74.11345,13,1331,Monmouth,Middletown Twp,"12,070","6,572","5,498",01/01/2012,major,East/West
1-5-206,00000046__,10.71,40.83392305,-74.98906226,21,2123,Warren,White Twp,"8,706","4,306","4,400",01/01/2012,Classification 48hrs,East/West
121302,13000001__,0.94,40.236885,-74.45929,13,1332,Monmouth,Millstone Twp,"2,184","1,063","1,121",01/01/2012,Volume 48hrs,East/West
